response_id,age_group,gender,city_tier,primary_hair_concern,hairfall_severity,current_brand,satisfaction_score,willingness_to_pay_inr,purchase_frequency,ingredient_preference,feedback_text
RESP_0014,25-34,Male,Tier 2,Frizz,Moderate (Clumps),Pantene,7,150,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0015,25-34,Female,Tier 1,Frizz,Severe (Visible Thinning),Dove,5,150,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0016,18-24,Male,Tier 1,Hairfall,Moderate (Clumps),Pantene,8,250,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0017,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Head & Shoulders,4,999,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0018,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Dove,9,250,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0019,18-24,Female,Tier 2,Hairfall,Severe (Visible Thinning),Dove,6,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0020,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Tresemme,7,499,Bi-Monthly,No Preference,I need a solution for post-partum hair loss.
RESP_0021,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Head & Shoulders,3,699,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0022,25-34,Female,Tier 2,Frizz,Mild (Seasonal),Mamaearth,4,250,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0023,35-44,Male,Tier 1,Dandruff,Mild (Seasonal),Generic/Ayurvedic,7,399,Monthly,No Preference,Too expensive for daily use.
RESP_0024,45-54,Female,Tier 3,Hairfall,Severe (Visible Thinning),Mamaearth,9,499,Quarterly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0025,25-34,Male,Tier 2,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,5,499,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0026,55+,Male,Tier 2,Frizz,Mild (Seasonal),Pantene,8,399,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0027,18-24,Female,Tier 3,Frizz,Severe (Visible Thinning),Dove,1,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0028,45-54,Male,Tier 2,Oily Scalp,Mild (Seasonal),Generic/Ayurvedic,3,699,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0029,35-44,Female,Tier 3,Oily Scalp,Mild (Seasonal),Pantene,5,150,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0030,45-54,Male,Tier 1,Dryness,Mild (Seasonal),Tresemme,5,399,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0031,25-34,Male,Tier 2,Oily Scalp,Severe (Visible Thinning),Tresemme,1,699,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0032,35-44,Female,Tier 3,Hairfall,Severe (Visible Thinning),Tresemme,4,399,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0033,55+,Female,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,3,699,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0034,45-54,Male,Tier 2,Hairfall,Severe (Visible Thinning),Tresemme,9,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0035,25-34,Male,Tier 1,Dandruff,Mild (Seasonal),Generic/Ayurvedic,5,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0036,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Dove,10,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0037,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Dove,6,499,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0038,25-34,Female,Tier 2,Dryness,Moderate (Clumps),Dove,3,699,Bi-Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0039,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Mamaearth,5,399,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0040,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,10,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0041,25-34,Female,Tier 1,Frizz,Severe (Visible Thinning),Generic/Ayurvedic,5,250,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0042,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,5,999,Monthly,No Preference,I need a solution for post-partum hair loss.
RESP_0043,25-34,Male,Tier 3,Hairfall,Mild (Seasonal),Generic/Ayurvedic,2,699,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0044,25-34,Male,Tier 3,Oily Scalp,Mild (Seasonal),Head & Shoulders,6,399,Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0045,35-44,Female,Tier 2,Frizz,Moderate (Clumps),Pantene,1,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0046,35-44,Other,Tier 1,Hairfall,Moderate (Clumps),Tresemme,3,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0047,35-44,Female,Tier 1,Hairfall,Moderate (Clumps),Tresemme,8,999,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0048,25-34,Female,Tier 1,Oily Scalp,Mild (Seasonal),Dove,2,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0049,35-44,Female,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,2,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0050,35-44,Male,Tier 3,Hairfall,Severe (Visible Thinning),Pantene,3,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0051,18-24,Female,Tier 2,Frizz,Severe (Visible Thinning),Mamaearth,9,499,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0052,18-24,Female,Tier 3,Dandruff,Severe (Visible Thinning),Head & Shoulders,8,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0053,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,6,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0054,45-54,Female,Tier 3,Hairfall,Moderate (Clumps),Mamaearth,5,499,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0055,35-44,Female,Tier 1,Hairfall,Moderate (Clumps),Tresemme,7,499,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0056,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,9,250,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0057,18-24,Male,Tier 2,Frizz,Mild (Seasonal),Generic/Ayurvedic,1,699,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0058,18-24,Female,Tier 1,Oily Scalp,Severe (Visible Thinning),Generic/Ayurvedic,5,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0059,45-54,Female,Tier 1,Oily Scalp,Mild (Seasonal),Tresemme,5,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0060,18-24,Female,Tier 3,Dryness,Severe (Visible Thinning),Mamaearth,2,699,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0061,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,3,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0062,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,3,699,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0063,25-34,Female,Tier 1,Hairfall,Moderate (Clumps),Tresemme,9,150,Quarterly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0064,25-34,Female,Tier 2,Dandruff,Moderate (Clumps),Dove,8,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0065,18-24,Male,Tier 2,Frizz,Moderate (Clumps),Pantene,6,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0066,25-34,Female,Tier 1,Oily Scalp,Moderate (Clumps),Tresemme,10,250,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0067,35-44,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,10,250,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0068,18-24,Female,Tier 2,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,9,399,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0069,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,9,150,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0070,35-44,Male,Tier 1,Frizz,Moderate (Clumps),Generic/Ayurvedic,10,499,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0071,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,8,499,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0072,18-24,Male,Tier 1,Dryness,Moderate (Clumps),Dove,9,250,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0073,45-54,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,3,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0074,18-24,Male,Tier 2,Dandruff,Moderate (Clumps),Dove,8,399,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0075,35-44,Female,Tier 1,Oily Scalp,Severe (Visible Thinning),Tresemme,7,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0076,25-34,Male,Tier 3,Hairfall,Moderate (Clumps),Head & Shoulders,5,499,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0077,45-54,Female,Tier 1,Hairfall,Moderate (Clumps),Pantene,4,699,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0078,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Dove,2,699,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0079,45-54,Male,Tier 3,Hairfall,Moderate (Clumps),Generic/Ayurvedic,2,699,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0080,35-44,Male,Tier 1,Dandruff,Mild (Seasonal),Dove,6,499,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0081,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,4,499,Bi-Monthly,No Preference,I want something that actually stops hairfall.
RESP_0082,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Tresemme,7,499,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0083,45-54,Female,Tier 2,Dryness,Mild (Seasonal),Tresemme,3,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0084,35-44,Female,Tier 1,Frizz,Mild (Seasonal),Mamaearth,5,150,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0085,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,6,399,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0086,55+,Male,Tier 3,Hairfall,Severe (Visible Thinning),Head & Shoulders,2,699,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0087,18-24,Male,Tier 3,Dryness,Mild (Seasonal),Dove,3,699,Quarterly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0088,35-44,Male,Tier 3,Oily Scalp,Mild (Seasonal),Pantene,6,250,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0089,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Head & Shoulders,2,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0090,35-44,Female,Tier 1,Dryness,Mild (Seasonal),Tresemme,2,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0091,25-34,Male,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,10,250,Monthly,No Preference,Just marketing gimmicks.
RESP_0092,35-44,Female,Tier 1,Oily Scalp,Mild (Seasonal),Head & Shoulders,8,250,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0093,18-24,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,6,499,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0094,45-54,Male,Tier 1,Dandruff,Mild (Seasonal),Generic/Ayurvedic,5,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0095,35-44,Male,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,2,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0096,35-44,Male,Tier 1,Oily Scalp,Mild (Seasonal),Head & Shoulders,7,699,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0097,18-24,Female,Tier 2,Dandruff,Moderate (Clumps),Tresemme,5,399,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0098,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Mamaearth,10,999,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0099,35-44,Male,Tier 2,Hairfall,Severe (Visible Thinning),Dove,9,499,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0100,35-44,Male,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,8,499,Monthly,No Preference,Good but causes dandruff.
RESP_0101,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,4,399,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0102,35-44,Male,Tier 1,Dryness,Mild (Seasonal),Generic/Ayurvedic,4,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0103,18-24,Female,Tier 3,Hairfall,Moderate (Clumps),Tresemme,6,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0104,35-44,Female,Tier 3,Oily Scalp,Severe (Visible Thinning),Mamaearth,2,699,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0105,18-24,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,2,699,Bi-Monthly,No Preference,Too expensive for daily use.
RESP_0106,35-44,Male,Tier 1,Dryness,Severe (Visible Thinning),Pantene,9,499,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0107,25-34,Male,Tier 3,Hairfall,Severe (Visible Thinning),Dove,10,150,Monthly,No Preference,Just marketing gimmicks.
RESP_0108,45-54,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,7,250,Bi-Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0109,25-34,Male,Tier 2,Dryness,Moderate (Clumps),Generic/Ayurvedic,9,999,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0110,25-34,Female,Tier 2,Dryness,Severe (Visible Thinning),Dove,8,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0111,18-24,Male,Tier 1,Dryness,Moderate (Clumps),Pantene,2,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0112,25-34,Male,Tier 3,Frizz,Mild (Seasonal),Head & Shoulders,6,250,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0113,18-24,Male,Tier 2,Dandruff,Mild (Seasonal),Dove,5,150,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0114,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,1,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0115,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,8,399,Bi-Monthly,No Preference,Good but causes dandruff.
RESP_0116,35-44,Female,Tier 2,Oily Scalp,Severe (Visible Thinning),Dove,3,699,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0117,25-34,Male,Tier 1,Hairfall,Moderate (Clumps),Mamaearth,9,999,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0118,25-34,Female,Tier 1,Dryness,Severe (Visible Thinning),Mamaearth,9,699,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0119,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,7,499,Quarterly,No Preference,Made my hair dry but stopped fall.
RESP_0120,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,7,399,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0121,25-34,Female,Tier 3,Dandruff,Severe (Visible Thinning),Pantene,2,699,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0122,18-24,Male,Tier 3,Hairfall,Moderate (Clumps),Tresemme,4,699,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0123,18-24,Male,Tier 3,Hairfall,Severe (Visible Thinning),Pantene,7,499,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0124,45-54,Female,Tier 1,Dandruff,Mild (Seasonal),Head & Shoulders,6,499,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0125,18-24,Male,Tier 2,Hairfall,Severe (Visible Thinning),Head & Shoulders,1,699,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0126,55+,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,1,699,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0127,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,9,399,Bi-Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0128,18-24,Female,Tier 1,Oily Scalp,Mild (Seasonal),Dove,8,399,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0129,45-54,Female,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,2,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0130,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,9,499,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0131,35-44,Female,Tier 1,Dryness,Moderate (Clumps),Generic/Ayurvedic,7,499,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0132,25-34,Female,Tier 1,Dandruff,Moderate (Clumps),Mamaearth,3,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0133,55+,Female,Tier 3,Frizz,Severe (Visible Thinning),Head & Shoulders,9,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0134,25-34,Male,Tier 2,Hairfall,Mild (Seasonal),Tresemme,8,250,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0135,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,6,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0136,45-54,Female,Tier 1,Oily Scalp,Mild (Seasonal),Pantene,8,499,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0137,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,5,250,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0138,18-24,Male,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,2,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0139,45-54,Male,Tier 2,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,8,250,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0140,25-34,Male,Tier 1,Frizz,Mild (Seasonal),Dove,7,999,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0141,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,1,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0142,35-44,Female,Tier 3,Hairfall,Moderate (Clumps),Mamaearth,9,150,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0143,18-24,Male,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,5,699,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0144,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Pantene,3,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0145,45-54,Female,Tier 2,Hairfall,Severe (Visible Thinning),Dove,1,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0146,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,9,699,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0147,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,4,150,Quarterly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0148,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Dove,8,399,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0149,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Tresemme,6,999,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0150,18-24,Male,Tier 1,Oily Scalp,Mild (Seasonal),Mamaearth,8,399,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0151,35-44,Female,Tier 2,Hairfall,Moderate (Clumps),Tresemme,3,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0152,25-34,Male,Tier 3,Dandruff,Moderate (Clumps),Dove,4,150,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0153,25-34,Female,Tier 1,Dryness,Moderate (Clumps),Dove,9,699,Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0154,35-44,Male,Tier 1,Frizz,Severe (Visible Thinning),Tresemme,6,250,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0155,35-44,Male,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,9,399,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0156,18-24,Female,Tier 1,Dandruff,Mild (Seasonal),Mamaearth,7,250,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0157,18-24,Female,Tier 3,Dryness,Mild (Seasonal),Head & Shoulders,5,150,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0158,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Tresemme,5,499,Bi-Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0159,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,8,399,Quarterly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0160,55+,Female,Tier 1,Hairfall,Moderate (Clumps),Dove,10,399,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0161,25-34,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,6,699,Quarterly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0162,45-54,Male,Tier 1,Dandruff,Moderate (Clumps),Head & Shoulders,8,250,Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0163,25-34,Female,Tier 3,Dandruff,Mild (Seasonal),Dove,4,250,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0164,18-24,Female,Tier 3,Frizz,Moderate (Clumps),Mamaearth,3,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0165,55+,Male,Tier 3,Frizz,Moderate (Clumps),Head & Shoulders,3,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0166,25-34,Female,Tier 2,Dryness,Severe (Visible Thinning),Head & Shoulders,5,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0167,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,7,150,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0168,35-44,Male,Tier 3,Hairfall,Moderate (Clumps),Tresemme,9,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0169,25-34,Female,Tier 1,Dandruff,Mild (Seasonal),Tresemme,10,699,Monthly,No Preference,I prefer natural smell.
RESP_0170,35-44,Female,Tier 1,Dandruff,Mild (Seasonal),Tresemme,5,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0171,18-24,Female,Tier 3,Hairfall,Severe (Visible Thinning),Pantene,5,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0172,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,2,699,Monthly,No Preference,Good but causes dandruff.
RESP_0173,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,9,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0174,35-44,Male,Tier 3,Dryness,Mild (Seasonal),Mamaearth,9,150,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0175,35-44,Female,Tier 1,Hairfall,Moderate (Clumps),Dove,3,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
